PersistentHashMap/string/polyml,1226492,806957,788063,651498,594045,685546,573343,501991,459092
RedBlackMap/string/polyml,949968,1236603,1187131,775053,577102,465422,364072,312143,254997
HashTable/string/polyml,1664816,2168152,2590002,1768172,1106084,761070,1112799,1117482,959891
PersistentHashMap/string/mlton,1474201,689285,871788,1094344,658615,700715,610354,496820,374418
RedBlackMap/string/mlton,1977587,1504513,1631321,1243953,976565,689803,526822,450232,335996
HashTable/string/mlton,3550295,3886010,6198347,5835440,3676425,2968895,2850957,2473502,1849475
