PersistentArray/int/polyml,4098360,4083484,3003604,2985470,2969973,2723360,1719162
Vector/int/polyml,58823529,58823529,60975609,17842981,25891084,15012009,18926250,13718587
PersistentArray/int/mlton,11070110,9375000,7978723,8317161,3823458,2969199,2211733,1814980,1555917
Vector/int/mlton,130434782,600000000,454545454,38200339,150375939,194636678,109521028,83138573,66854900
