PersistentArray/int/polyml,81081081,25069637,51020408,87976539,82485565,53434661,87785522
Vector/int/polyml,54545454,68181818,74626865,174418604,137048880,89108910,53073861,106301556
PersistentArray/int/mlton,120000000,145161290,145631067,151770657,127931769,70549502,100425133,128701969,156076040
Vector/int/mlton,272727272,750000000,857142857,450000000,740740740,935550935,863309352,865634317,706397607
