PersistentHashMap/string/polyml,1014884,599001,646287,500469,587493,590939,477005,446767,337426
RedBlackMap/string/polyml,1216051,967325,697382,792051,586854,428382,327593,289102,204668
HashTable/string/polyml,2898550,2323780,2590673,2470152,1981074,1809081,1727503,1594428,1440046
PersistentHashMap/string/mlton,1683501,699463,1013239,687033,669093,546469,493733,463107,319006
RedBlackMap/string/mlton,1372369,1462938,1224539,996688,731848,570251,481545,355644,252273
HashTable/string/mlton,10238907,3745318,5189413,5700171,3966627,3803663,3582273,3336911,3029305
