PersistentHashMap/string/polyml,2566295,1797483,1413893,1192906,1116216,1255055,1115443,997342,844397
RedBlackMap/string/polyml,3225806,2076603,1772421,1395781,1021787,789147,603429,477008,337693
HashTable/string/polyml,3012048,2448313,2665718,2231589,1815782,1845377,1593589,1656908,1486347
PersistentHashMap/string/mlton,7352941,3984063,2883506,2222551,1705407,1527095,1295467,1035864,838538
RedBlackMap/string/mlton,3232758,4223369,3428179,2610663,1608173,1177688,899823,667289,508835
HashTable/string/mlton,10526315,7252215,9791122,4643483,3903251,3775674,3397019,3247363,3076720
