PersistentHashMap/string/polyml,2514668,2474566,1668799,1516121,1623060,1506846,1347888,1184320,995148
RedBlackMap/string/polyml,4065040,3188097,2134168,1769737,1148281,837439,630409,502805,351956
PersistentHashMap/string/mlton,7812500,6736526,3167229,2879355,2577541,1982597,1689183,1303493,1137503
RedBlackMap/string/mlton,4213483,5461165,4032800,3195795,1955378,1371873,949125,707674,510990
