PersistentArray/int/polyml,6160164,3924989,4722921,10548523,7678722,10672611,10012475
Vector/int/polyml,32258064,37037037,44510385,56250000,56486537,37418925,32855108,72936622
PersistentArray/int/mlton,7792207,16574585,19775873,13793103,12353304,15549143,16436915,10711518,19323858
Vector/int/mlton,230769230,473684210,461538461,316901408,394736842,393356643,300842358,337217580,435116828
