PersistentArray/int/polyml,836820,1202404,785216,1015709,1283609,1273762,1260647
Vector/int/polyml,39473684,57692307,61475409,59210526,13317352,11099874,8497789,17112904
PersistentArray/int/mlton,1466992,1313676,924271,988120,1018893,1001014,996295,970427,1039675
Vector/int/mlton,111111111,68181818,283018867,199556541,198281559,188284518,189501610,209981101,218205622
