PersistentHashMap/string/polyml,3322259,2844500,1905487,2240143,2129623,2176736,1885197,1578856,1461287
RedBlackMap/string/polyml,3382187,2592912,1636839,1149058,901436,700075,553756,444899,278186
HashTable/string/polyml,4261363,4245283,4165509,3764272,3354016,3119216,2622159,2681097,2745477
PersistentHashMap/string/mlton,7317073,4255319,5053908,5550758,3629544,3463230,2601438,1916656,1891248
RedBlackMap/string/mlton,3841229,4506760,3293446,2298087,1507530,1124827,828579,643808,499313
HashTable/string/mlton,9287925,4980630,9363295,6052047,4934210,4630344,3976991,3991938,4346786
